"Species","Common","IUIS Allergen","Type","Group*","Length","GI#@","First Version"
"Acarus siro","Mite","Aca s 13","Aero Mite","Acarus Aca s 13","131","118638268","9"
"Acarus siro","Mite","Unassigned","Aero Insect","Acarus siro Group 4 allergen","517","118638278","9"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","213","441482362","14"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","213","441482364","14"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","213","441482366","14"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","380","190358935","9"
"Actinidia chinensis","Kiwi","Act c 1","Food Plant","Actinidia Act c 10 LTP","15","378548410","13"
"Actinidia chinensis","Kiwi","Act c 5.0102","Food Plant","Actinidia Act c 5 kiwellin","213","441482354","14"
"Actinidia chinensis","Kiwi","Act c 8.0101","Food Plant","Actinidia Act c 8 Act d 8 PR-10","159","281552896","11"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","20","68064399","7"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","225","441482370","14"
"Actinidia deliciosa","Kiwi","Act d 1","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","380","15984","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","380","166317","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","380","193806686","12"
"Actinidia deliciosa","Kiwi","Act d 8.0101","Food Plant","Actinidia Act c 8 Act d 8 PR-10","157","281552898","11"
"Actinidia deliciosa","Kiwi","Act d 10.0201","Food Plant","Actinidia Act d 10 LTP","92","378548411","13"
"Actinidia deliciosa","Kiwi","Act d 10.0101","Food Plant","Actinidia Act d 10 LTP","92","378405189","13"
"Actinidia deliciosa","Kiwi","Act d 11","Food Plant","Actinidia Act d 11 Kirola MLP","150","332319679","12"
"Actinidia deliciosa","Kiwi","Act d 2.0101","Food Plant","Actinidia Act d 2 thaumatin like protein","225","71057064","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","201","146737976","9"
"Actinidia deliciosa","Kiwi","Act d 4.0101","Food Plant","Actinidia Act d 4 Phytocystatin","116","40807635","7"
"Actinidia deliciosa","Kiwi","Act d 5.0101","Food Plant","Actinidia Act d 5 kiwellin","189","85701136","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","213","441482346","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","213","441482348","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","213","441482350","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","213","441482352","14"
"Actinidia deliciosa","Kiwi","Act d 9.0101","Food Plant","Actinidia Act d 9, profilin","109","100","16"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","213","441482356","14"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","213","441482358","14"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","213","441482360","14"
"Aedes aegypti","Yellow fever mosquito","Aed a 1","Venom or Salivary","Aedes Aed a 1 apyrase","562","556272","7"
"Aedes aegypti","Yellow fever mosquito","Unassigned","Venom or Salivary","Aedes Aed a 1 apyrase","562","193806340","10"
"Aedes aegypti","Yellow fever mosquito","Aed a 2","Venom or Salivary","Aedes Aed a 2","321","205525919","9"
"Aedes aegypti","Yellow fever mosquito","Aed a 3","Venom or Salivary","Aedes Aed a 3","253","2114497","7"
"Aedes aegypti","Yellow fever mosquito","Unassigned","Venom or Salivary","Aedes Aed a 3","273","94468546","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","26","320606","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","35","75139987","7"
"Agrostis alba","Bent grass","Unassigned","Aero Plant","Agrostis Agr a 1","35","75139989","7"
"Alnus glutinosa","Alder","Aln g 1","Aero Plant","Alnus Aln g 1","160","261407","7"
"Alnus glutinosa","Alder","Aln g 1.0101","Aero Plant","Alnus Aln g 4","85","3319651","7"
"Alternaria alternata","Fungus","Alt a 1.0101","Aero Fungi","Alternaria Alt a 1","157","1842045","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 1","115","21913174","7"
"Alternaria alternata","Fungus","Alt a 1.0102","Aero Fungi","Alternaria Alt a 1","157","45680856","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 1","133","390980892","13"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 1","130","508123617","15"
"Alternaria alternata","Fungus","Alt a 10.0101","Aero Fungi","Alternaria Alt a 10 ADH","497","76666767","7"
"Alternaria alternata","Fungus","Alt a 12","Aero Fungi","Alternaria Alt a 12 Ribosomal BP P1","110","1350779","7"
"Alternaria alternata","Fungus","Alt a 13.0101","Aero Fungi","Alternaria Alt a 13","231","74611808","10"
"Alternaria alternata","Fungus","Alt a 3","Aero Fungi","Alternaria Alt a 3 HSP","152","14423730","7"
"Alternaria alternata","Fungus","Alt a 4","Aero Fungi","Alternaria Alt a 4 thioredoxin","436","85701160","7"
"Alternaria alternata","Fungus","Alt a 5","Aero Fungi","Alternaria Alt a 5 ribosomal P2","113","1850540","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 5 ribosomal P2","113","1173071","10"
"Alternaria alternata","Fungus","Alt a 6","Aero Fungi","Alternaria Alt a 6 enolase","438","14423684","7"
"Alternaria alternata","Fungus","Alt a 7.0101","Aero Fungi","Alternaria Alt a 7 flavodoxin","204","1168402","9"
"Alternaria alternata","Fungus","Alt a 8.0101","Aero Fungi","Alternaria Alt a 8 (mannitol dehydrogenase)","266","37780013","8"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 8 (mannitol dehydrogenase)","266","118595439","8"
"Alternaria alternata","Fungus","Alt a 14.0101","Aero Fungi","Alternaria MnSOD Alt a 14","191","529279957","15"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Nuc Transport 2","124","21748153","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria TCTP IgE binding","169","112824341","11"
"Amaranthus retroflexus","Common Amaranth","Ama r 2.0101","Aero Plant","Amaranthus Ama r 2 Proflin","133","227937304","10"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0101","Aero Plant","Ambrosia Amb a 1","396","113475","7"
"Ambrosia artemisiifolia","Short ragweed","Amb a 1.0201","Aero Plant","Ambrosia Amb a 1","398","113476","7"
